id,cx,mu,ft
0,0.5,0.5,872.7400011092425
1,0.5,0.5,920.7553463578224
2,0.5,0.5,914.793638497591
3,0.5,0.5,926.5583486258984
4,0.5,0.5,908.2066545814275
5,0.5,0.5,933.3249536901712
6,0.5,0.5,928.6808952987194
7,0.5,0.5,890.1119208186865
8,0.5,0.5,844.0499965399504
9,0.5,0.5,898.3757786810398
10,0.5,0.5,909.4515118300915
11,0.5,0.5,916.4792581945658
12,0.5,0.5,853.1960358768702
13,0.5,0.5,883.6483733743429
14,0.5,0.5,897.1808849453926
15,0.5,0.5,899.9410677999258
16,0.5,0.5,888.1501992166043
17,0.5,0.5,947.3721422106028
18,0.5,0.5,863.576448827982
19,0.5,0.5,851.863987877965
20,0.5,0.5,872.9634761065245
21,0.5,0.5,846.467779353261
22,0.5,0.5,884.3504582107067
23,0.5,0.5,950.3511528521776
24,0.5,0.5,906.140413403511
25,0.5,0.5,827.1535229533911
26,0.5,0.5,925.118413567543
27,0.5,0.5,871.6350064188242
28,0.5,0.5,876.4665475785732
29,0.5,0.5,847.8620058149099
0,0.6,0.4,914.5288615524769
1,0.6,0.4,900.8284639567137
2,0.6,0.4,1007.6448913961649
3,0.6,0.4,878.4575483947992
4,0.6,0.4,868.9622007966041
5,0.6,0.4,862.6930977553129
6,0.6,0.4,835.7074154019356
7,0.6,0.4,906.7401373595
8,0.6,0.4,954.9779867082834
9,0.6,0.4,925.4754884809255
10,0.6,0.4,906.334001249075
11,0.6,0.4,917.8507576674223
12,0.6,0.4,847.8058679699898
13,0.6,0.4,911.8741042017937
14,0.6,0.4,873.449890896678
15,0.6,0.4,883.8458683788776
16,0.6,0.4,922.1553903520107
17,0.6,0.4,911.8611619919538
18,0.6,0.4,853.4268025308847
19,0.6,0.4,889.0610009729862
20,0.6,0.4,886.0050286948681
21,0.6,0.4,901.6097513586283
22,0.6,0.4,896.606460377574
23,0.6,0.4,942.5179993510246
24,0.6,0.4,796.7264213114977
25,0.6,0.4,892.5247186273336
